month,year,day_of_year,revisit_gap_hours
8,2020,225,0.0
8,2020,230,119.99666666666668
8,2020,230,0.0
8,2020,235,120.00333333333332
8,2020,235,0.0
8,2020,240,119.99666666666668
8,2020,240,0.0
9,2020,245,120.00333333333332
9,2020,245,0.0
9,2020,250,119.99666666666668
9,2020,250,0.0
9,2020,255,120.00611111111112
9,2020,255,0.0
9,2020,260,119.99388888888888
9,2020,260,0.0
9,2020,265,120.02555555555556
9,2020,265,0.0
9,2020,270,119.99388888888888
9,2020,270,0.0
10,2020,275,120.02555555555556
10,2020,275,0.0
10,2020,280,119.99388888888888
10,2020,280,0.0
10,2020,285,120.02555555555556
10,2020,285,0.0
10,2020,290,120.01055555555556
10,2020,290,0.0
10,2020,295,120.00888888888888
10,2020,295,0.0
10,2020,300,120.00777777777778
10,2020,300,0.0
10,2020,305,120.00888888888888
10,2020,305,0.0
11,2020,310,120.00777777777778
11,2020,310,0.0
11,2020,315,120.00611111111112
11,2020,315,0.0
11,2020,320,120.005
11,2020,320,0.0
11,2020,325,120.00611111111112
11,2020,325,0.0
11,2020,330,120.005
11,2020,330,0.0
11,2020,335,120.00611111111112
11,2020,335,0.0
12,2020,340,120.00222222222222
12,2020,340,0.0
12,2020,345,120.00055555555556
12,2020,345,0.0
12,2020,350,120.00222222222222
12,2020,350,0.0
12,2020,355,120.00333333333332
12,2020,355,0.0
12,2020,360,119.99944444444444
12,2020,360,0.0
12,2020,365,119.99777777777778
12,2020,365,0.0
1,2021,4,119.99944444444444
1,2021,4,0.0
1,2021,9,119.995
1,2021,9,0.0
1,2021,14,119.99666666666668
1,2021,14,0.0
1,2021,19,119.995
1,2021,19,0.0
1,2021,24,119.99388888888888
1,2021,24,0.0
1,2021,29,119.995
1,2021,29,0.0
2,2021,34,119.99111111111112
2,2021,34,0.0
2,2021,39,119.99222222222222
2,2021,39,0.0
2,2021,44,119.99111111111112
2,2021,44,0.0
2,2021,49,119.98944444444444
2,2021,49,0.0
2,2021,54,119.99111111111112
2,2021,54,0.0
2,2021,59,119.99222222222222
2,2021,59,0.0
3,2021,64,119.97444444444444
3,2021,64,0.0
3,2021,69,120.00611111111112
3,2021,69,0.0
3,2021,74,119.97166666666666
3,2021,74,0.0
3,2021,79,120.00611111111112
3,2021,79,0.0
3,2021,84,119.97722222222222
3,2021,84,0.0
3,2021,89,120.00333333333332
3,2021,89,0.0
4,2021,94,119.99666666666668
4,2021,94,0.0
4,2021,99,120.00055555555556
4,2021,99,0.0
4,2021,104,119.99944444444444
4,2021,104,0.0
4,2021,109,120.00055555555556
4,2021,109,0.0
4,2021,114,119.99666666666668
4,2021,114,0.0
4,2021,119,120.00333333333332
4,2021,119,0.0
5,2021,124,119.99944444444444
5,2021,124,0.0
