cloud_cover,month,year,day_of_year,revisit_gap_hours
30.191118,6,2021,154,119.99944444444444
21.340579,6,2021,154,0.0
77.261753,6,2021,159,120.00055555555556
98.74591,6,2021,159,0.0
29.24278,6,2021,164,119.99944444444444
34.695833,6,2021,164,0.0
1.647344,6,2021,169,120.00055555555556
3.858499,6,2021,169,0.0
27.952001,6,2021,174,119.99944444444444
54.14026,6,2021,174,0.0
91.967263,6,2021,179,120.00055555555556
97.596746,6,2021,179,0.0
9.147663,7,2021,184,119.99944444444444
0.931719,7,2021,184,0.0
16.217373,7,2021,189,120.00055555555556
10.19508,7,2021,189,0.0
2.065232,7,2021,194,119.99944444444444
0.25555,7,2021,194,0.0
19.618375,7,2021,199,120.00055555555556
53.448862,7,2021,199,0.0
0.306661,7,2021,204,119.99944444444444
1.019318,7,2021,204,0.0
15.575222,7,2021,209,120.00055555555556
5.230882,7,2021,209,0.0
9.139096,8,2021,214,119.99944444444444
6.206546,8,2021,214,0.0
14.094674,8,2021,219,120.00055555555556
0.536555,8,2021,219,0.0
44.852719,8,2021,224,119.99944444444444
35.873771,8,2021,224,0.0
65.454304,8,2021,229,120.00055555555556
51.799295,8,2021,229,0.0
2.691932,8,2021,234,119.99944444444444
3.770314,8,2021,234,0.0
12.927213,8,2021,239,120.00055555555556
10.475846,8,2021,239,0.0
0.50774,9,2021,244,119.99944444444444
0.15633,9,2021,244,0.0
2.612471,9,2021,249,120.00055555555556
0.120355,9,2021,249,0.0
0.159422,9,2021,254,119.99944444444444
0.065479,9,2021,254,0.0
6.09951,9,2021,259,120.01444444444444
8.690867,9,2021,259,0.0
28.862518,9,2021,264,119.99388888888888
33.139081,9,2021,264,0.0
0.13096,9,2021,269,120.02555555555556
0.271973,9,2021,269,0.0
99.766378,10,2021,274,119.99388888888888
99.226297,10,2021,274,0.0
2.336958,10,2021,279,120.02833333333334
32.193449,10,2021,279,0.0
0.291482,10,2021,284,119.99111111111112
0.137457,10,2021,284,0.0
8.621481,11,2021,309,600.0588888888889
5.08304,11,2021,309,0.0
99.999511,11,2021,314,120.00777777777778
99.951412,11,2021,314,0.0
0.241619,11,2021,319,120.00611111111112
0.106132,11,2021,319,0.0
94.564623,11,2021,324,120.005
94.58045,11,2021,324,0.0
93.149593,11,2021,324,0.0
93.080074,11,2021,324,0.0
2.719246,11,2021,329,120.00611111111112
4.954787,11,2021,329,0.0
0.22619,11,2021,334,120.00222222222222
0.099357,11,2021,334,0.0
22.913288,12,2021,339,120.00611111111112
33.01089,12,2021,339,0.0
99.294641,12,2021,344,119.99944444444444
86.484625,12,2021,344,0.0
79.176788,12,2021,349,120.00333333333332
87.808416,12,2021,349,0.0
68.096896,12,2021,354,119.99944444444444
93.290609,12,2021,354,0.0
80.985692,12,2021,359,120.00333333333332
46.09011,12,2021,359,0.0
39.987049,12,2021,364,119.99666666666668
27.089655,12,2021,364,0.0
99.999985,1,2022,4,120.00055555555556
100.0,1,2022,4,0.0
22.171855,1,2022,9,119.99388888888888
27.334505,1,2022,9,0.0
99.583211,1,2022,14,119.99777777777778
99.882505,1,2022,14,0.0
98.061977,1,2022,19,119.99388888888888
92.948301,1,2022,19,0.0
0.233029,1,2022,24,119.995
0.077791,1,2022,24,0.0
0.500002,1,2022,29,119.99111111111112
0.137647,1,2022,29,0.0
99.992257,2,2022,34,119.995
99.8119,2,2022,34,0.0
99.810952,2,2022,34,0.0
98.738086,2,2022,34,0.0
0.083225,2,2022,39,119.99111111111112
0.040781,2,2022,39,0.0
7.081102,2,2022,44,119.99222222222222
8.664169,2,2022,44,0.0
0.454348,2,2022,49,119.98833333333332
0.486584,2,2022,49,0.0
2.606351,2,2022,49,0.0
2.717715,2,2022,49,0.0
99.999481,2,2022,54,119.995
100.0,2,2022,54,0.0
28.825986,2,2022,59,119.97166666666666
23.792581,2,2022,59,0.0
21.186613,3,2022,64,120.00888888888888
21.181585,3,2022,64,0.0
77.586895,3,2022,64,0.0
77.573973,3,2022,64,0.0
39.453283,3,2022,69,119.97166666666666
39.404008,3,2022,69,0.0
54.351711,3,2022,69,0.0
54.409802,3,2022,69,0.0
0.001271,3,2022,74,120.00611111111112
12.063383,3,2022,74,0.0
